city,city_id,clouds,country,humidity,latitude,longitude,temp,wind_speed
lagoa,5948,0,pt,49,48,-29,48.2,8.05
victoria,6865,20,sc,74,-5,63,84.2,2.24
bambous virieux,6729,40,mu,88,-27,75,78.8,8.05
bredasdorp,6591,48,za,77,-61,25,69.8,17.22
saldanha,6575,20,za,88,-38,-2,66.2,3.36
cape town,6529,75,za,88,-65,-9,66.2,8.05
saint-philippe,6792,0,re,61,-56,72,84.2,4.7
pisco,4405,0,pe,83,-23,-90,71.6,11.41
spartanburg,1824,1,us,82,35,-82,64.4,5.41
ilulissat,4805,32,gl,69,80,-45,-9.41,11.41
ponta do sol,5952,75,pt,93,35,-18,55.4,4.7
port elizabeth,6596,0,za,39,-74,34,82.4,10.29
lulea,5414,76,se,85,66,23,12.2,8.05
bredasdorp,6591,48,za,77,-63,16,69.8,17.22
sirvintos,5437,44,lt,84,55,25,1.4,2.24
saint-philippe,6792,0,re,61,-60,69,84.2,4.7
saldanha,6575,20,za,88,-34,14,66.2,3.36
saint-philippe,6792,0,re,61,-49,70,84.2,4.7
coquimbo,4666,0,cl,93,-28,-83,60.8,5.82
cabrero,4641,56,cl,82,-37,-72,64.4,6.93
bubaque,6118,0,gw,88,5,-22,64.4,5.82
punta arenas,4642,90,cl,66,-52,-79,53.6,13.87
mahebourg,6729,40,mu,88,-38,71,78.8,8.05
east london,6538,0,za,47,-80,57,80.6,11.41
shadegan,7017,0,ir,77,30,49,59.0,9.17
cape town,6529,75,za,88,-69,-9,66.2,8.05
cape town,6529,75,za,88,-48,-5,66.2,8.05
ushuaia,4754,40,ar,71,-76,-46,51.8,13.24
mecca,6996,0,sa,78,22,42,75.2,4.07
ushuaia,4754,40,ar,71,-88,-72,51.8,13.24
dzaoudzi,6790,40,yt,88,-13,46,80.6,2.24
salalah,7115,75,om,69,10,62,73.4,2.24
karasjok,5310,12,no,83,70,26,-11.21,2.24
saint-augustin,3831,5,ca,85,58,-59,17.6,2.24
vila velha,4498,20,br,94,-26,-23,77.0,4.7
maputo,6852,75,mz,94,-27,34,73.4,3.74
vila franca do campo,5957,40,pt,82,40,-21,60.8,6.93
bambous virieux,6729,40,mu,88,-27,71,78.8,8.05
torbay,3467,20,ca,61,43,-50,14.0,21.92
ushuaia,4754,40,ar,71,-84,-43,51.8,13.24
chapais,3777,1,ca,84,55,-75,3.2,4.7
vila franca do campo,5957,40,pt,82,36,-25,60.8,6.93
cape town,6529,75,za,88,-55,1,66.2,8.05
punta arenas,4642,90,cl,66,-71,-86,53.6,13.87
ushuaia,4754,40,ar,71,-60,-48,51.8,13.24
raudeberg,5290,88,no,64,67,2,33.8,10.29
hamilton,4169,75,bm,68,34,-68,68.0,5.82
bambous virieux,6729,40,mu,88,-37,83,78.8,8.05
saint george,4169,75,bm,68,32,-56,68.0,5.82
souillac,6729,40,mu,88,-30,62,78.8,8.05
mahebourg,6729,40,mu,88,-33,72,78.8,8.05
ushuaia,4754,40,ar,71,-57,-48,51.8,13.24
cape town,6529,75,za,88,-49,-6,66.2,8.05
ushuaia,4754,40,ar,71,-72,-30,51.8,13.24
assomada,6188,20,cv,68,15,-24,64.4,2.24
oktyabrskiy,7322,0,ru,76,61,43,-2.21,2.24
praia da vitoria,5951,20,pt,82,42,-25,57.2,16.49
romans-sur-isere,5572,90,fr,74,45,5,30.2,6.93
cape town,6529,75,za,88,-84,-15,66.2,8.05
tasiilaq,4806,32,gl,56,87,-37,14.0,1.12
bubaque,6118,0,gw,88,2,-24,64.4,5.82
aswan,6402,0,eg,31,22,32,73.4,4.7
victoria,6865,20,sc,74,-2,62,84.2,2.24
punta alta,4727,0,ar,73,-40,-62,69.8,2.24
saint george,4169,75,bm,68,32,-60,68.0,5.82
derventa,5966,90,ba,97,45,18,32.0,4.7
mahebourg,6729,40,mu,88,-45,74,78.8,8.05
port elizabeth,6596,0,za,39,-88,33,82.4,10.29
qaqortoq,4791,0,gl,48,61,-46,-4.01,6.93
coquimbo,4666,0,cl,93,-27,-78,60.8,5.82
bredasdorp,6591,48,za,77,-55,23,69.8,17.22
cape town,6529,75,za,88,-40,11,66.2,8.05
scottsboro,238,1,us,100,35,-86,66.2,5.19
general roca,4769,90,ar,82,-40,-67,59.0,4.7
havre-saint-pierre,3785,20,ca,65,54,-64,3.2,6.93
ushuaia,4754,40,ar,71,-62,-42,51.8,13.24
port elizabeth,6596,0,za,39,-82,31,82.4,10.29
kragujevac,5971,90,rs,86,44,21,33.8,5.82
ushuaia,4754,40,ar,71,-62,-60,51.8,13.24
santa marinella,5851,40,it,93,41,11,48.2,6.93
nouadhibou,6182,20,mr,82,22,-19,60.8,8.05
ushuaia,4754,40,ar,71,-90,-19,51.8,13.24
ushuaia,4754,40,ar,71,-84,-55,51.8,13.24
punta arenas,4642,90,cl,66,-74,-84,53.6,13.87
saint-philippe,6792,0,re,61,-29,59,84.2,4.7
saint-philippe,6792,0,re,61,-46,61,84.2,4.7
qaqortoq,4791,0,gl,48,63,-46,-4.01,6.93
edea,6743,75,cm,100,4,10,73.4,2.24
saint-philippe,6792,0,re,61,-65,69,84.2,4.7
coquimbo,4666,0,cl,93,-29,-75,60.8,5.82
cape town,6529,75,za,88,-67,-14,66.2,8.05
sorland,5306,0,no,50,74,5,28.4,8.05
vila franca do campo,5957,40,pt,82,43,-20,60.8,6.93
lagos,5948,0,pt,49,36,-9,48.2,8.05
gryfice,5369,0,pl,85,54,15,17.6,4.7
chapais,3777,1,ca,84,58,-75,3.2,4.7
ushuaia,4754,40,ar,71,-74,-65,51.8,13.24
ushuaia,4754,40,ar,71,-76,-40,51.8,13.24
kinsale,5236,20,ie,80,50,-8,39.2,16.11
olinda,4500,90,br,88,-9,-30,80.6,5.82
elizabeth city,1776,90,us,100,35,-75,48.2,12.75
mahebourg,6729,40,mu,88,-40,80,78.8,8.05
vestmanna,5266,64,fo,93,69,-8,42.8,12.75
east london,6538,0,za,47,-54,43,80.6,11.41
lagoa,5948,0,pt,49,45,-27,48.2,8.05
gobabis,6913,88,na,73,-23,19,71.6,3.36
souillac,6729,40,mu,88,-53,72,78.8,8.05
ushuaia,4754,40,ar,71,-65,-35,51.8,13.24
victoria,6865,20,sc,74,0,57,84.2,2.24
guderup,5258,0,dk,92,55,10,30.2,6.93
port elizabeth,6596,0,za,39,-57,29,82.4,10.29
iqaluit,3590,5,ca,67,58,-66,-22.01,8.55
saint-francois,4145,20,gp,64,17,-57,75.2,10.29
torbay,3467,20,ca,61,41,-46,14.0,21.92
saint-philippe,6792,0,re,61,-74,74,84.2,4.7
narsaq,4791,0,gl,48,84,-63,-4.01,6.93
bucarasica,4249,40,co,78,8,-73,75.2,3.36
narsaq,4791,0,gl,48,86,-60,-4.01,6.93
fryazino,7323,0,ru,83,56,38,-2.21,2.24
souillac,6729,40,mu,88,-44,70,78.8,8.05
colares,5961,0,pt,60,38,-14,42.8,3.36
