HC01_EST_VC01,,,,,,
Total; Estimate; Total population,60+Population,,,OneTimeheartattack,,0.514833774
4849377,21.4,AL,Alabama,5.9,,
736732,15.1,AK,Alaska,3.3,,
6731484,21.7,AZ,Arizona,4.4,,
2966369,21.8,AR,Arkansas,6.7,,
38802500,18.2,CA,California,3.5,,
5355866,18.7,CO,Colorado,3.1,,
3596677,21.6,CT,Connecticut,3.7,,
935614,22.4,DE,Delaware,5,,
658893,16.3,DC,District of Columbia,2.6,,
19893297,25.3,FL,Florida,5.3,,
10097343,17.9,GA,Georgia,4.5,,
1419561,22.2,HI,Hawaii,3.1,,
1634464,20.4,ID,Idaho,3.7,,
12880580,19.7,IL,Illinois,3.7,,
6596855,20.3,IN,Indiana,5,,
3107126,22,IA,Iowa,4.4,,
2904021,20.2,KS,Kansas,4.2,,
4413457,20.9,KY,Kentucky,6.8,,
4649676,19.5,LA,Louisiana,5.2,,
1330089,25.7,ME,Maine,5.5,,
5976407,19.6,MD,Maryland,3.2,,
6745408,21.2,MA,Massachusetts,4.1,,
9909877,22,MI,Michigan,5.2,,
5457173,20.2,MN,Minnesota,3.8,,
2994079,20.1,MS,Mississippi,4.9,,
6063589,21.5,MO,Missouri,5.4,,
1023579,23.5,MT,Montana,4.2,,
1881503,20.1,NE,Nebraska,3.8,,
2839099,19.9,NV,Nevada,4.8,,
1326813,22.8,NH,New Hampshire,3.8,,
8938175,20.6,NJ,New Jersey,4.2,,
2085572,21.6,NM,New Mexico,4.2,,
19746227,20.6,NY,New York,3.8,,
9943964,20.5,NC,North Carolina,5.1,,
739482,20,ND,North Dakota,4.6,,
11594163,21.8,OH,Ohio,5.4,,
3878051,20.1,OK,Oklahoma,5.5,,
3970239,22.9,OR,Oregon,4.6,,
12787209,23.2,PA,Pennsylvania,4.8,,
1055173,22.1,RI,Rhode Island,4.3,,
4832482,22.2,SC,South Carolina,4.6,,
853175,21.2,SD,South Dakota,5.1,,
6549352,21.2,TN,Tennessee,5.7,,
26956958,16.5,TX,Texas,3.7,,
2942902,14.6,UT,Utah,2.9,,
626562,24.1,VT,Vermont,3.8,,
8326289,19.7,VA,Virginia,4.2,,
7061530,20.1,WA,Washington,3.8,,
1850326,24.9,WV,West Virginia,7.4,,
5757564,21.6,WI,Wisconsin,3.7,,
584153,20.7,WY,Wyoming,4.6,,
3548397,23.5,PR,Puerto Rico,5.3,,
,,,,,,
,,,,,,
,,,,,,
