id,state,abbr,heartattack,60+Population
1,AL,Alabama,5.9,21.4
2,AK,Alaska,3.3,15.1
3,AZ,Arizona,4.4,21.7
4,AR,Arkansas,6.7,21.8
5,CA,California,3.5,18.2
6,CO,Colorado,3.1,18.7
7,CT,Connecticut,3.7,21.6
8,DE,Delaware,5,22.4
9,DC,District of Columbia,2.6,16.3
10,FL,Florida,5.3,25.3
11,GA,Georgia,4.5,17.9
12,HI,Hawaii,3.1,22.2
13,ID,Idaho,3.7,20.4
14,IL,Illinois,3.7,19.7
15,IN,Indiana,5,20.3
16,IA,Iowa,4.4,22
17,KS,Kansas,4.2,20.2
18,KY,Kentucky,6.8,20.9
19,LA,Louisiana,5.2,19.5
20,ME,Maine,5.5,25.7
21,MD,Maryland,3.2,19.6
22,MA,Massachusetts,4.1,21.2
23,MI,Michigan,5.2,22
24,MN,Minnesota,3.8,20.2
25,MS,Mississippi,4.9,20.1
26,MO,Missouri,5.4,21.5
27,MT,Montana,4.2,23.5
28,NE,Nebraska,3.8,20.1
29,NV,Nevada,4.8,19.9
30,NH,New Hampshire,3.8,22.8
31,NJ,New Jersey,4.2,20.6
32,NM,New Mexico,4.2,21.6
33,NY,New York,3.8,20.6
34,NC,North Carolina,5.1,20.5
35,ND,North Dakota,4.6,20
36,OH,Ohio,5.4,21.8
37,OK,Oklahoma,5.5,20.1
38,OR,Oregon,4.6,22.9
39,PA,Pennsylvania,4.8,23.2
40,RI,Rhode Island,4.3,22.1
41,SC,South Carolina,4.6,22.2
42,SD,South Dakota,5.1,21.2
43,TN,Tennessee,5.7,21.2
44,TX,Texas,3.7,16.5
45,UT,Utah,2.9,14.6
46,VT,Vermont,3.8,24.1
47,VA,Virginia,4.2,19.7
48,WA,Washington,3.8,20.1
49,WV,West Virginia,7.4,24.9
50,WI,Wisconsin,3.7,21.6
51,WY,Wyoming,4.6,20.7
52,PR,Puerto Rico,5.3,23.5
